Site;TipoNome;Estado;Municipio;Endereço;Técnico;Matrícula;Dono;Ano_Mes;id_anomes_site
ABA MRS;CDMA;PI;Água Branca/Pi;R MORAIS, 286 CENTRO;José Carlos Silva Sousa;92049189.0;Embratel;202210;202210ABA MRS
ABU EL;CDMA;PE;ABREU E LIMA;R ETELVINO LUIZ DE SOUZA, LT 5/6 PARQUE DOS EUCALIPTOS;;0.0;Embratel;202210;202210ABU EL
ACA ARC;CDMA;CE;ARACATI;R CON JOAO PAULO, 1151 CENTRO;;0.0;Embratel;202210;202210ACA ARC
ACI LS;CDMA;RN;ACARI;ROD BR-226, S/N SITIO SACO DO JUAZEIRO;Daniel Cruz Pereira;92278831.0;Embratel;202210;202210ACI LS
ACR EDL;CDMA;CE;ACOPIARA;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;Embratel;202210;202210ACR EDL
ACR KC;CDMA;CE;ACOPIARA;RODOVIA CE 060 , S/N;;0.0;Embratel;202210;202210ACR KC
ACU DC;CDMA;RN;AÇU;R MNS JULIO ALVES BEZERRA, S/N CENTRO;Ricardo Bezerra Silva;92279287.0;Embratel;202210;202210ACU DC
AFI IL;CDMA;PE;AFOGADOS DA INGAZEIRA;R IZIDIO LEITE DA SILVA, S/N CENTRO;;0.0;Embratel;202210;202210AFI IL
AIR SP;CDMA;AL;ARAPIRACA;R PADRE ANCHIETA, 124-A CENTRO;;0.0;Embratel;202210;202210AIR SP
MCO DM;CDMA;AL;MACEIÓ;AVENIDA VEREADOR DARIO MARSIGLIA, 255 TABULEIRO DOS MARTINS;OCTAVIO AUGUSTO NOBREGA ALBUQUERQUE;163996.0;COMPARTILHADO;202210;202210MCO DM
MCO WB;CDMA;AL;MACEIÓ;RUA CORONEL PARANHOS, 1300 JACINTINHO;Pedro Avelino Dos Santos Junior;32003625.0;COMPARTILHADO;202210;202210MCO WB
MCO MS;CDMA;AL;MACEIÓ;AVENIDA MOREIRA E SILVA, 391 FAROL;Pedro Avelino Dos Santos Junior;32003625.0;COMPARTILHADO;202210;202210MCO MS
MCO WC;CDMA;AL;MACEIÓ;AV ALM ALVARO CALHEIROS, S/N MANGABEIRAS;;0.0;Embratel;202210;202210MCO WC
SMM SM3;CDMA;AL;SÃO MIGUEL DOS CAMPOS;LOTEAMENTO ESTHER SOARES TORRES TERCEIRO, S/N FATIMA;Edewaldo Da Silva Feitosa;32005260.0;CLARO;202210;202210SMM SM3
ARR CR;CDMA;PE;ARRARIPINA;R COELHO RODRIGUES, S/N CENTRO;;0.0;Embratel;202210;202210ARR CR
ARRW BRA;CDMA;PI;Amarante/Pi;ROD BR-343, KM 532 ARARAS;José Carlos Silva Sousa;92049189.0;Embratel;202210;202210ARRW BRA
ATS DFM;CDMA;PI;Altos/Pi;R DOMINGOS FELIX MONTEIRO, S/N CENTRO;;0.0;Embratel;202210;202210ATS DFM
BBH VDL;CDMA;CE;BARBALHA;R DO VIDEL, 53 CENTRO;;0.0;Embratel;202210;202210BBH VDL
BDU SP;CDMA;PI;Barro Duro/Pi;SER DO CIPO, S/N SERRA DO CIPO;Henrique Jose Cardoso Figueiredo;32002628.0;Embratel;202210;202210BDU SP
BEX FM;CDMA;PB;BAYEUX;R FLAVIO MAROJA, 266 JARDIM SAO SEVERINO;;0.0;Embratel;202210;202210BEX FM
BIU SF;CDMA;CE;BANABUIÚ;ROD CE 113 - ESTRADA DAS LARANJEIRAS, KM 250 BANABUIU;;0.0;Embratel;202210;202210BIU SF
BLH RP;CDMA;PI;Batalha/Pi;ROD PIAUI, 117 CENTRO;;0.0;Embratel;202210;202210BLH RP
BONM CH;CDMA;PE;SÃO JOSÉ DO BELMONTE;ROD BR-232, KM 456 ZONA RURAL;;0.0;CHESF;202210;202210BONM CH
BOU KR;CDMA;RN;BOM JESUS;ROD RN-203, KM 2 ZONA RURAL;;0.0;Embratel;202210;202210BOU KR
BQSO BR;CDMA;CE;BEBERIBE;BR BR116, KM110;;0.0;Embratel;202210;202210BQSO BR
BRC RN;CDMA;RN;BARCELONA;ROD RN-203, KM60 ZONA RURAL;;0.0;Embratel;202210;202210BRC RN
BRN SM;CDMA;RN;BARAÚNAS;ROD RN-015, KM17 ZONA RURAL;Daniel Cruz Pereira;92278831.0;Embratel;202210;202210BRN SM
CAA DB;CDMA;PE;CARPINA;AV DANTAS BARRETO, S/N SAO SEBASTIAO;;0.0;Embratel;202210;202210CAA DB
CAC CDM;CDMA;CE;CARIRIAÇU;R CARLOS MORAIS, 630 CENTRO;;0.0;Embratel;202210;202210CAC CDM
CAC KC;CDMA;CE;CARIRIAÇU;ROD CE-385, S/N FAZENDA SANTA CLARA;;0.0;Embratel;202210;202210CAC KC
CBO ACR;CDMA;PE;CABO;R ALTO DO CRUZEIRO, S/N SANTA MONICA;;0.0;ATC;202210;202210CBO ACR
CBO RH;CDMA;PE;CABO;ROD BR 101 SUL SN KM 93.4, KM 101 PONTES DE CARVALHO;;0.0;Embratel;202210;202210CBO RH
CDO RP;CDMA;PI;Codó/Ma;#N/DISP Erro:504, Erro:504 Erro:504;Laureny Rodrigues de Carvalho;93269844.0;Embratel;202210;202210CDO RP
ACA BR;CDMA;CE;ARACATI;RODOVIA BR 304, S/N CENTRO;Gilmar Lima Pereira;92025454.0;COMPARTILHADO;202210;202210ACA BR
FLA001;CDMA;CE;FORTALEZA;RUA JOSÉ EUCLIDES, S/N FATIMA;Sergio Caetano de Oliveira;93294465.0;CLARO;202210;202210FLA001
FLA PV;CDMA;CE;FORTALEZA;AVENIDA PONTES VIEIRA, 1554 DIONÍSIO TORRES;Sergio Caetano de Oliveira;93294465.0;COMPARTILHADO;202210;202210FLA PV
